trackid,name_track,artist_c,year,month,day,spotify_CHA,stream_int,data_lancamento,name_artist_,qtd_music_solo,quartile_stream,total_playlist,categoria,track_id,bpm,key,mode,danceability__,valence__,energy__,acousticness__,instrumentalness__,liveness__,speechiness__
2475712,Agudo Mgi,3,1930,1,1,0,90598517,01/01/1930,Styrx utku INC Thezth,1,1,341,baixo,2475712,130,F#,Minor,65,49,80,22,4,7,5
6909746,White Christmas,3,1942,1,1,0,395591396,01/01/1942,Bing Crosby John Scott Trotter  His Orchestra Ken Darby Singers,1,3,12136,baixo,6909746,96,A,Major,23,19,25,91,0,40,3
6909746,White Christmas,3,1942,1,1,0,395591396,01/01/1942,Bing Crosby John Scott Trotter  His Orchestra Ken Darby Singers,1,3,12136,baixo,6909746,96,A,Major,23,19,25,91,0,40,3
3087104,The Christmas Song Merry Christmas To You  Remastered 1999,1,1946,11,1,0,389771964,01/11/1946,Nat King Cole,2,3,11891,baixo,3087104,139,C#,Major,36,22,15,84,0,11,4
8753775,Let It Snow Let It Snow Let It Snow,2,1950,1,1,0,473248298,01/01/1950,Frank Sinatra B Swanson Quartet,1,3,11117,baixo,8753775,143,D,Major,60,86,32,88,0,34,6
4002890,A Holly Jolly Christmas  Single Version,1,1952,1,1,0,395591396,01/01/1952,Burl Ives,1,3,8111,baixo,4002890,140,,Major,67,81,36,64,0,15,3
4002890,A Holly Jolly Christmas  Single Version,1,1952,1,1,0,395591396,01/01/1952,Burl Ives,1,3,8111,baixo,4002890,140,,Major,67,81,36,64,0,15,3
6372609,Jingle Bell Rock,1,1957,1,1,0,741301563,01/01/1957,Bobby Helms,1,4,10595,alto,6372609,119,D,Major,74,78,37,84,0,6,3
3092002,Jingle Bells  Remastered 1999,1,1957,1,1,0,178660459,01/01/1957,Frank Sinatra,1,2,4423,baixo,3092002,175,G#,Major,51,94,34,73,0,10,5
8597238,Run Rudolph Run  Single Version,1,1958,1,1,0,245350949,01/01/1958,Chuck Berry,1,2,8784,baixo,8597238,152,G,Minor,69,94,71,79,0,7,8
1291434,Its Beginning to Look a Lot Like Christmas with Mitchell Ayres  His Orchestra,3,1958,1,1,0,295998468,01/01/1958,Perry Como The Fontane Sisters Mitchell Ayres  His Orchestra,1,3,6537,baixo,1291434,113,G,Major,73,72,32,77,0,15,5
8576945,Rockin Around The Christmas Tree,1,1958,1,1,0,769213520,01/01/1958,Brenda Lee,1,4,15391,alto,8576945,140,G#,Major,70,85,41,71,0,45,5
8167749,Deck The Hall  Remastered 1999,1,1959,1,1,0,127027715,01/01/1959,Nat King Cole,2,1,3405,baixo,8167749,107,F#,Minor,69,96,36,81,0,8,4
4277985,Let It Snow Let It Snow Let It Snow,1,1959,11,16,0,446390129,16/11/1959,Dean Martin,1,3,6877,baixo,4277985,134,C#,Major,45,72,24,91,0,18,4
5350503,Its the Most Wonderful Time of the Year,1,1963,10,14,0,663832097,14/10/1963,Andy Williams,1,3,9221,baixo,5350503,202,G,Major,24,76,60,77,0,12,4
3867590,Christmas Baby Please Come Home,1,1963,11,22,0,242767149,22/11/1963,Darlene Love,1,2,9455,baixo,3867590,126,D#,Major,34,35,76,39,0,8,5
6900582,Sleigh Ride,1,1963,11,22,0,404664135,22/11/1963,The Ronettes,1,3,10490,baixo,6900582,92,D,Major,53,84,77,40,0,32,3
6250958,Have You Ever Seen The Rain,1,1968,7,1,14,1145727611,01/07/1968,Creedence Clearwater Revival,1,4,16614,alto,6250958,116,,Major,74,76,70,7,0,13,3
4061483,Love Grows Where My Rosemary Goes,1,1970,1,1,0,,01/01/1970,Edison Lighthouse,1,,2947,baixo,4061483,110,A,Major,53,75,69,7,0,17,3
4069645,Feliz Navidad,1,1970,11,1,0,520034544,01/11/1970,Jos Felic,1,3,3819,baixo,4069645,148,D,Major,50,96,82,47,0,34,4
2148200,Happy Xmas War Is Over,4,1971,12,1,0,460492795,01/12/1971,John Lennon The Harlem Community Choir The Plastic Ono Band Yoko Ono,1,3,11349,baixo,2148200,147,D,Major,33,39,61,32,0,77,3
1534505,Dream On,1,1973,1,5,0,838586769,05/01/1973,Aerosmith,1,4,173,alto,1534505,80,F,Minor,39,24,43,39,0,23,3
8502696,Riptide,1,1975,1,1,55,2009094673,01/01/1975,Vance Joy,1,4,32426,alto,8502696,102,C#,Major,48,50,73,43,0,15,4
3739389,Bohemian Rhapsody  Remastered 2011,1,1975,10,31,3,2197010679,31/10/1975,Queen,1,4,46124,alto,3739389,71,,Minor,41,23,40,27,0,30,5
8476304,Wonderful Christmastime  Edited Version  Remastered 2011,1,1979,11,16,0,403939487,16/11/1979,Paul McCartney,1,3,1715,baixo,8476304,95,B,Major,75,74,58,36,0,9,3
8729578,Pass The Dutchie,1,1982,1,1,0,195918494,01/01/1982,Musical Youth,1,2,6282,baixo,8729578,151,G,Major,73,88,67,20,0,32,5
7807270,Miss You,1,1982,5,16,0,154356956,16/05/1982,Southstar,1,2,2216,baixo,7807270,145,A,Major,66,24,58,17,0,19,5
6552512,Every Breath You Take  Remastered 2003,1,1983,1,6,19,1593270737,06/01/1983,The Police,1,4,23579,alto,6552512,117,C#,Major,82,73,45,54,0,7,3
7451979,Take On Me,1,1984,10,19,17,1479115056,19/10/1984,aha,1,4,50069,alto,7451979,84,F#,Minor,57,86,90,2,0,9,5
3891081,Do They Know Its Christmas  1984 Version,1,1984,11,25,0,481697415,25/11/1984,Band Aid,1,3,14827,baixo,3891081,115,,Major,60,23,57,0,2,27,3
4738813,Merry Christmas Everyone,1,1984,1,1,0,351636786,01/01/1984,Shakin Stevens,1,3,1182,baixo,4738813,101,C#,Minor,72,91,87,14,0,13,3
7224008,Last Christmas,1,1984,1,1,0,1159176109,01/01/1984,Wham,1,4,23729,alto,7224008,107,B,Minor,74,88,65,28,0,46,3
