track_id,total_playlist
2817956,1280
7412049,2304
7366228,769
2726514,769
2098417,1025
2861036,3073
2031309,23041
7822780,258
2717112,1026
8499304,1538
7500786,3074
6891911,29186
3115886,30210
6057014,515
1442233,260
6609930,772
7332091,772
7762851,2308
8217918,10756
1512850,57348
3146245,2565
7137376,4357
5025330,8453
5350503,9221
1587452,1286
6270180,1542
6363032,4870
6792432,5382
4367298,32262
6387600,12039
4809507,520
8471078,2056
6029543,4360
2582262,777
8704695,2057
7083603,2313
5031236,2569
8835305,3337
3253565,18697
3197174,24841
2977289,8714
3519068,267
3521113,523
6895326,779
4566008,6155
7750995,14603
2987008,3852
5937798,5132
3869741,23564
4866757,269
7910702,1293
3533833,1805
1713130,1550
3875589,1806
7531207,5390
5111873,5646
7476887,2575
2480109,4623
4319986,7951
3476652,1040
4341380,1808
4551026,2064
8346039,9489
3412305,25361
6271365,274
6131592,2322
6774092,2322
3910891,4114
4795987,7186
2166194,1043
7510507,276
1436447,2836
7325433,32788
5922471,277
5088165,278
2698226,278
4923571,1814
8143341,791
1464404,4375
5757514,8215
5939675,11031
4527090,35607
1404326,1048
7304378,4632
6389379,7960
4334346,8472
2816072,281
8055412,794
2284105,2330
2346155,5146
7792660,12314
3605651,12826
8346639,283
4492232,795
5565096,1051
3476877,1051
7107144,4635
1109166,5659
6552512,23579
6364406,540
3439901,1052
4722538,1564
4845139,285
6386843,1309
7653113,3357
7298366,8477
2357691,798
4794318,1566
3122686,1822
1582892,3614
5821993,4894
7748090,13342
3108815,1055
8569518,1055
3184472,2591
8576945,15391
8949659,15647
7890756,38943
1413502,288
2437608,1824
5128815,289
6987709,34
8174616,803
8941056,803
3475077,1827
8480431,6947
8584244,7715
6523480,26403
7498965,3108
1640645,549
8110201,805
4671002,1573
5031502,2341
1904497,3621
3451143,14373
1078549,550
6427223,1574
1216337,22054
8251078,1575
2013796,3111
3393833,5159
4502825,296
5046895,7976
7456153,18728
7179210,41
1397395,1065
7870658,1065
4579313,3881
2664577,36649
6794169,554
7220913,3626
8641758,4650
2869874,299
5750956,13355
4918126,35883
4242212,41771
4942277,300
6845168,1068
8174233,1068
8164697,1068
6247887,1580
3557036,15148
3739389,46124
2162220,301
3506706,1837
8238387,2861
1513475,7213
6191375,814
7948655,814
6974739,1582
5974857,1582
3023667,3374
7726159,4654
8171349,303
4464368,815
6136667,1071
4117642,1327
7370086,3887
1274739,304
2635416,11312
2122853,2097
8465611,2609
4165407,306
7175350,818
7724259,2610
7068825,4914
1159428,2867
2670198,24115
7080917,48179
7103818,820
2166249,309
7165052,1077
5080031,2357
5724140,822
3469822,1078
5526636,3126
1443757,3894
7587856,17462
3657141,823
4627428,2359
3766692,18231
2101565,568
2987518,1336
7036044,569
2307433,2361
2865125,4409
5420196,2106
7477767,2618
8129977,315
8571641,571
2840055,827
6642483,1339
5310138,3131
2142936,1340
8454029,6716
4431554,8764
6670857,2877
6177084,3133
4923214,2110
8452012,5182
3827734,5694
5831523,30526
1849027,831
5426643,2879
2439081,3391
7173596,9535
4152167,32063
3225408,64
3827200,320
8246992,1600
5243367,2112
3461847,2368
2761463,3648
1726395,5440
1207987,577
2628329,833
8715137,833
3163708,322
7780139,834
