name_artist_,total_musicas,total_streams
Band Aid,1,481697415
Radiohead,1,1271293243
Miguel,1,950906471
Demi Lovato,1,677389855
Arcangel De La Ghetto Justin Quiles Lenny Tavrez Sech Dalex Dimelo Flow Rich Music,1,223319934
Libianca,1,373199958
Bomba Estreo Bad B,1,1133865788
MC Ryan SP Love Funk Mc Paiva ZS,1,187701588
Sean Paul Dua Lipa,1,956865266
Halsey BTS,1,1065580332
Nicky Youre Dazy,1,652704649
Baby Rasta Rauw Alejandro,1,304079786
Kenshi Yonezu,1,210038833
Residente Bizarrap,1,94616487
Future Chris Brown Metro Boomin,1,401036314
Em Beihold Stephen Sanchez,1,600976848
Interplanetary Criminal Eliza Rose,1,244585109
Nicki Minaj Ice Spice,1,104992946
Offset JID,1,24975653
Maria Becerra,1,43857627
Karol G Quevedo,1,93438910
Styrx utku INC Thezth,1,90598517
John Lennon The Harlem Community Choir The Plastic Ono Band Yoko Ono,1,460492795
Eminem Dido,1,918915401
Eminem Dina Rae,1,655466831
One Direction,1,1131090940
Marshmello Jonas Brothers,1,651732901
Aventura Bad Bunny,1,673801126
Gunna Lil Baby,1,54937991
Cris Mj,1,682475162
Lasso,1,263280370
Karol G Becky G,1,716591492
Drake Travis Scott 21 Savage,1,191333656
Camila Cabello Willow,1,75476209
Kendrick Lamar Beth Gibbons,1,33381454
L7nnon DJ Biel do Furduncinho Bianca,1,176103902
Shubh,1,47956378
Becky G Peso Pluma,1,161460990
Britney Spears,1,261116938
Gwen Stefani Blake Shelton,1,180577478
Mac DeMarco,1,244658767
Ckay,1,726837877
INTERWORLD,1,357580552
Tory Lanez,1,415932686
Katy Perry Alesso,1,226897599
Prezioso Gabry Ponte LUMX,1,422691058
Imagine Dragons League of Legends Arcane,1,2446962298
John Legend Metro Boomin,1,78139948
Nengo Flow Anuel Aa Chris Jedi Chencho Corleone,1,333146475
Lil Durk Morgan Wallen,1,46065667
Cartel De Santa La Kelly,1,162887075
Jack Black,1,68216992
Frank Sinatra,1,178660459
The Rare Occasions,1,421135627
Drake WizKid Kyla,1,2713922350
Ghost,1,387080183
Conan Gray,1,1301799902
Anitta,1,546191065
Feid Sech Jhayco,1,133895612
BTS Jung Kook FIFA Sound,1,323358833
Bad Bunny Rauw Alejandro,1,614555082
Kendrick Lamar Sam Dew Baby Keem,1,86176890
Feid Young Miko,1,335222234
Musical Youth,1,195918494
Chris Rea,1,429504768
Chase Atlantic,1,498960285
Suki Waterhouse,1,184706613
Labrinth Zendaya,1,426204830
Stephen Sanchez,1,726434358
Dean Lewis,1,284785823
Wisin  Yandel ROSAL,1,309483971
Polima WestCoast Pailita,1,307752576
Rihanna,1,297328960
Luke Combs,1,157058870
Burl Ives,1,791182792
Creedence Clearwater Revival,1,1145727611
The Weeknd Tyler The Creator,1,88103848
Treasure,1,182978249
Rex Orange County,1,244928911
Yahritza Y Su Esencia,1,126443991
Arijit Singh Vishal Dadlani Sukriti Kakar VishalShekhar Shekhar Ravjiani Kumaar,1,1365184
PSY Suga,1,212109195
Ugly Dray Tesla Jnr,1,121077868
TAEYANG Lisa,1,76910644
SachinJigar Shadab Faridi Altamash Faridi Amitabh Bhattacharya Varun Jain,1,54225632
Peggy Gou,1,57876440
Myke Towers,1,133716286
Perry Como The Fontane Sisters Mitchell Ayres  His Orchestra,1,295998468
Sam Smith,1,1606986953
Lost Frequencies Calum Scott,1,972509632
Taylor Swift Lana Del Rey,1,323437194
Dove Cameron,1,496311364
Keisya Levronka,1,184807630
Lil Yachty,1,115331792
Baby Tate,1,122763672
Giveon,1,951637566
Bizarrap Tiago pzk,1,374191487
Kodak Black,1,342779426
Fran C Polima WestCoast Nickoog Clk Pablito Pesadilla,1,159240673
Bebe Rexha David Guetta,1,1109433169
BYOR Imanbek,1,383835984
James Hype Miggy Dela Rosa,1,462791599
Omar Apollo,1,227918678
Kodak Black NLE Choppa Muni Long JVKE Jimin,1,133753727
Shakira,1,123124076
Halsey Suga,1,51985779
TAEYANG Jimin,1,152850295
Mae Stephens,1,165584767
Dr Dre 2Pac Roger,1,579395142
Sidhu Moose Wala,1,183273246
PinkPantheress,1,312677248
The Weeknd Future,1,96180277
Lana Del Rey Taylor Swift,1,60350538
Natanael Cano,1,31873544
Shakira Bizarrap,1,721975598
Aerosmith,1,838586769
Eminem Nate Dogg,1,1695712020
Kevin Gates Juicy J,1,109091573
Elley Duh,1,872137015
Stephanie Beatriz Diane Guerrero,1,154797871
Maldy Karol G,1,322336177
Bellakath,1,168684524
Migrantes LiL CaKe Nico Valdi,1,231332117
Nile Rodgers LE SSERAFIM,1,92035115
Bizarrap Peso Pluma,1,200647221
Metro Boomin Coi Leray,1,70106975
Nicki Minaj Aqua Ice Spice,1,65156199
Loreen,1,201660859
Fuerza Regida Chino Pacas,1,116334601
Kaliii Kaliii,1,113509496
Rauw Alejandro ROSAL,1,357925728
Metallica,1,704171068
MrKitty,1,646886885
Willow,1,924193303
Panic At The Disco,1,582863434
Juan Cruz Toledo Huilen Toledo,1,1230855859
Cherish ACRAZE,1,674772936
Kali Uchis Amaarae Moliy,1,354065229
Rosa Linn,1,726307468
Halsey,1,91781263
Sabrina Carpenter,1,342897938
dennis MC Kevin o Chris,1,111947664
Big One Duki Lit Killah Maria Becerra FMK Rusherking Emilia Tiago pzk,1,123122413
Zion  Lennox,1,527033089
Gotye Kimbra,1,1457139296
The Walters,1,972164968
The Chainsmokers Coldplay,1,2204080728
Chris Brown,1,929964809
Fujii Kaze,1,403097450
Anuel Aa Myke Towers Jhay Cortez,1,177129919
Marlia Mendona George Henrique ,1,263894529
Ed Sheeran Taylor Swift,1,146789379
Sech Mora,1,184622518
De La Ghetto Feid Polima WestCoast Paloma Mami Pailita,1,279717388
Nayeon,1,213505179
Agust D,1,118810253
MC Caverinha KayBlack,1,71573339
Junior H Eden Mu,1,89933133
IU Agust D,1,95816024
Brenda Lee,1,769213520
Kelly Clarkson,1,485285717
Polo G,1,797402345
Doja Cat The Weeknd,1,672656250
Jnr Choi,1,245095641
Sam Ryder,1,54682594
Lusa Sonza MC Frog Dj Gabriel do Borel Davi K,1,176290831
BIGBANG,1,53909146
Chencho Corleone Bad Bunny,1,1440757818
Coolio LV,1,1357608774
Paloma Faith,1,588955257
Ckay AXEL Dj Yo,1,540539717
C Tangana,1,339473453
Mc Pedrinho Pedro Sampaio,1,208166039
Lil Uzi Vert,1,457184829
Christian Nodal,1,319757142
Travis Scott Metro Boomin,1,110649992
Pritam Arijit Singh Amitabh Bhattacharya,1,366599607
Israel  Rodolffo Mari Fernandez,1,138517666
jhope J Cole,1,116599790
Darlene Love,1,242767149
The Police,1,1593270737
The Killers,1,1806617704
Don Omar Lucenzo,1,1279434863
Mabel Matiz Mert Demir,1,136689549
Tulus,1,202677468
Zach Bryan,1,449701773
Charlie Puth BTS Jung Kook,1,720434240
Latto Jung Kook,1,141381703
sped up nightcore ARIZONATEARS Lil Uzi Vert,1,207033255
Childish Gambino,1,445590495
J Balvin Bad Bunny,1,1435127549
Raim Laode,1,137123880
Marlia Mendona Hugo  G,1,291709698
Z Fe,1,154119539
Travis Scott Young Thug Metro Boomin,1,276259178
Calvin Harris Dua Lipa Young Thug,1,190625045
Bizarrap Villano Antillano,1,248511839
Ovy On The Drums Quevedo,1,209106362
Brray Rauw Alejandro Lyanno,1,471819764
RM Colde,1,34502215
Chino Pacas,1,255932395
Gorillaz Bad Bunny,1,149778242
Calvin Harris Ellie Goulding,1,211050784
Big One FMK Ke personajes,1,142095275
Andy Williams,1,663832097
Kate Bush,1,1024858327
Rihanna Calvin Harris,1,1235005533
J Cole,1,1791000570
Ed Sheeran Elton John,1,135723538
Charli XCX Jax Jones Joel Corry Saweetie,1,427486004
The Weeknd Post Malone,1,539595276
Em Beihold,1,258714692
Anggi Marito,1,179659294
teto,1,139193812
Victor Cibrian,1,164856284
Melanie Martinez,1,67070410
Lit Killah Maria Becerra Tiago pzk NICKI NICOLE,1,236940480
Abhijay Sharma Riar Saab,1,71007139
Feid Mora,1,477033549
Buscabulla Bad Bunny,1,344055883
Sog Ryan Castro Peso Pluma,1,11599388
Simone Mendes,1,153454328
Frank Sinatra B Swanson Quartet,1,473248298
Shakin Stevens,1,351636786
50 Cent,1,1202722675
Pharrell Williams Nile Rodgers Daft Punk,1,933815613
Xam Gustah Neo B,1,240684449
MNEK Jax Jones,1,300983101
NLE Choppa,1,190490915
Sofia Carson,1,97610446
Rich The Kid Matu,1,77233241
Marshmello Manuel Turizo,1,223633238
BLESSD Peso Pluma,1,127026613
Olga Merediz Stephanie Beatriz Encanto  Cast,1,184937148
Farruko,1,1309887447
Tisto Kar,1,566954746
Drake Travis Scott,1,593917618
Chris Brown Rvssian Rauw Alejandro,1,436695353
Riton Nightcrawlers Mufasa  Hypeman Dopamine,1,863756573
De La Ghetto Duki Quevedo,1,178512385
Kendrick Lamar Taylour Paige,1,68895644
Grupo Marca Registrada Grupo Frontera,1,147290338
Queen,1,2197010679
SALES,1,156658366
Masked Wolf,1,1138474110
Gayle,1,1007612429
Kenia OS,1,156214700
Selena Gomez,1,91473363
Fuerza Regida Natanael Cano,1,288101651
Post Malone Roddy Ricch,1,271666301
Pnk,1,134255790
Wham,1,1159176109
Vundabar,1,370068639
Calvin Harris Dua Lipa,1,1897517891
Alvaro Diaz Rauw Alejandro,1,209768491
Tini LGante,1,200972675
Lauren Spencer Smith Lauren Spencer Smith Lauren Spencer Smith,1,349585590
Skrillex Flowdan Fred again,1,78489819
Carin Leon Grupo Frontera,1,2762
Fuerza Regida Grupo Frontera,1,367316268
Kendrick Lamar Blxst Amanda Reifer,1,237351106
Kanye West Lil Durk Cardi B,1,85924992
Sebastian Yatra Manuel Turizo Be,1,90839753
Arijit Singh SachinJigar Amitabha Bhattacharya,1,64533040
Tyler The Creator Kali Uchis,1,1047101291
girl in red,1,723043854
Maroon 5,1,1759567999
Trueno,1,198883004
Tini Maria Becerra,1,596152090
Jason Derulo,1,363467642
NEIKED Mae Muller Polo G,1,421040617
Luciano Aitch B,1,146223492
Ludwig Goransson Foudeqush,1,71095708
Luciano,1,160035717
Post Malone Doja Cat,1,609293408
Dave Central Cee,1,183706234
Swae Lee A Boogie Wit da Hoodie Metro Boomin NAV,1,109276132
AAP Rocky Metro Boomin Roisee,1,94186466
Kali Uchis,1,256483385
Bing Crosby John Scott Trotter  His Orchestra Ken Darby Singers,1,791182792
Ed Sheeran J Balvin,1,106933107
J Balvin Nio Garcia Bad Bunny,1,528544703
Dave,1,229473310
Camila Cabello Ed Sheeran,1,756907987
VishalShekhar Shilpa Rao Caralisa Monteiro Kumaar Vishal Dadlani Shekhar Ravjiani,1,140187018
MC Xenon Os Gemeos da Putaria,1,93587665
Ozuna Tiago pzk,1,138334433
Marshmello Khalid,1,295307001
Karol G Shakira,1,618990393
Edison Lighthouse,1,
Jaymes Young,1,888046992
AnnenMayKantereit Giant Rooks,1,236872197
Aitana zzoilo,1,578207856
Rosa Walton Hallie Coggins,1,140430339
Luar La L,1,273914335
Kendrick Lamar Baby Keem,1,560222750
Julieta Venegas Bad Bunny Tainy,1,775542072
Treyce,1,70069745
21 Savage Gunna,1,60680939
Ozuna Shakira,1,380726517
Yuridia Angela Aguilar,1,236857112
Eden Mu,1,299648208
David Guetta Ella Henderson Becky Hill,1,286739476
Ak420 Cris Mj Pailita,1,118381354
Natanael Cano Peso Pluma,1,436027885
David Guetta AnneMarie Coi Leray,1,177740666
Yung Lean,1,240769997
Dua Lipa DaBaby,1,1802514301
V,1,317622165
David Guetta Shakira Black Eyed Peas,1,240918092
Veigh Bvga Beatz Supernova Ent Prod Malax,1,81102253
Feid Mora Saiko Quevedo,1,57312735
Peso Pluma Grupo Frontera,1,52294266
PnB Rock,1,380319238
Post Malone Swae Lee,1,2808096550
New West,1,411747614
Tones and I,1,2864791672
Lisa,1,863625566
Coldplay BTS,1,1061966512
Shakira Rauw Alejandro,1,606361689
Drake Future Tems,1,556585270
Kendrick Lamar Sampha,1,127309180
Tini,1,217672943
aha,1,1479115056
Tears For Fears,1,1205951614
Keane,1,1089402494
J Balvin Maria Becerra,1,720825549
Jin,1,203436468
