trackid,name_track,artist_c,year,month,day,spotify_CHA,stream_int,data_lancamento,name_artist_,qtd_music_solo,quartile_stream,total_playlist,categoria,track_id,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts
2475712,Agudo Mgi,3,1930,1,1,0,90598517,01/01/1930,Styrx utku INC Thezth,1,1,341,baixo,2475712,4,0,14,0,0
6909746,White Christmas,3,1942,1,1,0,395591396,01/01/1942,Bing Crosby John Scott Trotter  His Orchestra Ken Darby Singers,1,3,12136,baixo,6909746,73,79,123,0,0
6909746,White Christmas,3,1942,1,1,0,395591396,01/01/1942,Bing Crosby John Scott Trotter  His Orchestra Ken Darby Singers,1,3,12136,baixo,6909746,73,79,123,0,0
3087104,The Christmas Song Merry Christmas To You  Remastered 1999,1,1946,11,1,0,389771964,01/11/1946,Nat King Cole,2,3,11891,baixo,3087104,140,72,251,0,0
8753775,Let It Snow Let It Snow Let It Snow,2,1950,1,1,0,473248298,01/01/1950,Frank Sinatra B Swanson Quartet,1,3,11117,baixo,8753775,126,108,406,0,0
4002890,A Holly Jolly Christmas  Single Version,1,1952,1,1,0,395591396,01/01/1952,Burl Ives,1,3,8111,baixo,4002890,108,120,73,0,0
4002890,A Holly Jolly Christmas  Single Version,1,1952,1,1,0,395591396,01/01/1952,Burl Ives,1,3,8111,baixo,4002890,108,120,73,0,0
3092002,Jingle Bells  Remastered 1999,1,1957,1,1,0,178660459,01/01/1957,Frank Sinatra,1,2,4423,baixo,3092002,32,3,65,0,0
6372609,Jingle Bell Rock,1,1957,1,1,0,741301563,01/01/1957,Bobby Helms,1,4,10595,alto,6372609,165,99,104,0,
8576945,Rockin Around The Christmas Tree,1,1958,1,1,0,769213520,01/01/1958,Brenda Lee,1,4,15391,alto,8576945,191,168,206,0,
8597238,Run Rudolph Run  Single Version,1,1958,1,1,0,245350949,01/01/1958,Chuck Berry,1,2,8784,baixo,8597238,120,30,52,0,1
1291434,Its Beginning to Look a Lot Like Christmas with Mitchell Ayres  His Orchestra,3,1958,1,1,0,295998468,01/01/1958,Perry Como The Fontane Sisters Mitchell Ayres  His Orchestra,1,3,6537,baixo,1291434,89,39,158,0,0
8167749,Deck The Hall  Remastered 1999,1,1959,1,1,0,127027715,01/01/1959,Nat King Cole,2,1,3405,baixo,8167749,65,39,41,0,0
4277985,Let It Snow Let It Snow Let It Snow,1,1959,11,16,0,446390129,16/11/1959,Dean Martin,1,3,6877,baixo,4277985,88,1,277,0,0
5350503,Its the Most Wonderful Time of the Year,1,1963,10,14,0,663832097,14/10/1963,Andy Williams,1,3,9221,baixo,5350503,182,107,160,0,1
3867590,Christmas Baby Please Come Home,1,1963,11,22,0,242767149,22/11/1963,Darlene Love,1,2,9455,baixo,3867590,121,58,212,0,0
6900582,Sleigh Ride,1,1963,11,22,0,404664135,22/11/1963,The Ronettes,1,3,10490,baixo,6900582,114,74,262,0,0
6250958,Have You Ever Seen The Rain,1,1968,7,1,14,1145727611,01/07/1968,Creedence Clearwater Revival,1,4,16614,alto,6250958,71,37,653,0,167
4061483,Love Grows Where My Rosemary Goes,1,1970,1,1,0,,01/01/1970,Edison Lighthouse,1,,2947,baixo,4061483,16,0,54,0,0
4069645,Feliz Navidad,1,1970,11,1,0,520034544,01/11/1970,Jos Felic,1,3,3819,baixo,4069645,21,3,10,0,0
2148200,Happy Xmas War Is Over,4,1971,12,1,0,460492795,01/12/1971,John Lennon The Harlem Community Choir The Plastic Ono Band Yoko Ono,1,3,11349,baixo,2148200,130,1,390,0,0
1534505,Dream On,1,1973,1,5,0,838586769,05/01/1973,Aerosmith,1,4,173,alto,1534505,0,0,5,0,0
8502696,Riptide,1,1975,1,1,55,2009094673,01/01/1975,Vance Joy,1,4,32426,alto,8502696,300,65,1003,1,0
3739389,Bohemian Rhapsody  Remastered 2011,1,1975,10,31,3,2197010679,31/10/1975,Queen,1,4,46124,alto,3739389,321,162,5691,8,17
8476304,Wonderful Christmastime  Edited Version  Remastered 2011,1,1979,11,16,0,403939487,16/11/1979,Paul McCartney,1,3,1715,baixo,8476304,1,0,29,0,0
8729578,Pass The Dutchie,1,1982,1,1,0,195918494,01/01/1982,Musical Youth,1,2,6282,baixo,8729578,54,76,900,0,0
7807270,Miss You,1,1982,5,16,0,154356956,16/05/1982,Southstar,1,2,2216,baixo,7807270,77,10,119,0,40
6552512,Every Breath You Take  Remastered 2003,1,1983,1,6,19,1593270737,06/01/1983,The Police,1,4,23579,alto,6552512,211,74,929,0,129
7451979,Take On Me,1,1984,10,19,17,1479115056,19/10/1984,aha,1,4,50069,alto,7451979,34,0,5108,6,0
3891081,Do They Know Its Christmas  1984 Version,1,1984,11,25,0,481697415,25/11/1984,Band Aid,1,3,14827,baixo,3891081,209,30,449,0,0
4738813,Merry Christmas Everyone,1,1984,1,1,0,351636786,01/01/1984,Shakin Stevens,1,3,1182,baixo,4738813,90,35,5,0,0
7224008,Last Christmas,1,1984,1,1,0,1159176109,01/01/1984,Wham,1,4,23729,alto,7224008,274,111,1302,0,
1832626,Running Up That Hill A Deal With God,1,1985,9,16,0,1024858327,16/09/1985,Kate Bush,1,4,22604,alto,1832626,117,1,676,3,0
8965193,Everybody Wants To Rule The World,1,1985,2,17,25,1205951614,17/02/1985,Tears For Fears,1,4,44507,alto,8965193,101,32,2655,0,666
1024668,Master of Puppets Remastered,1,1986,3,3,0,704171068,03/03/1986,Metallica,1,4,6598,alto,1024668,112,198,406,1,0
6593931,Driving Home for Christmas  2019 Remaster,1,1986,1,1,0,429504768,01/01/1986,Chris Rea,1,3,944,baixo,6593931,50,0,6,0,0
7080917,Sweet Child O Mine,1,1987,1,1,1,1553497987,01/01/1987,Guns N Roses,1,4,48179,alto,7080917,228,151,6720,3,99
8217918,Something In The Way  Remastered 2021,1,1991,9,24,0,368646862,24/09/1991,Nirvana,2,3,10756,baixo,8217918,45,27,1197,0,43
5615333,Smells Like Teen Spirit  Remastered 2021,1,1991,9,10,9,1690192927,10/09/1991,Nirvana,2,4,62623,alto,5615333,265,121,12367,4,160
6316146,Creep,1,1992,9,21,7,1271293243,21/09/1992,Radiohead,1,4,43677,alto,6316146,146,72,6807,5,80
4490744,All I Want for Christmas Is You,1,1994,10,28,0,1449779435,28/10/1994,Mariah Carey,1,4,28134,alto,4490744,387,132,2094,0,
2828618,California Love  Original Version Explicit,3,1995,12,28,0,579395142,28/12/1995,Dr Dre 2Pac Roger,1,3,20564,baixo,2828618,128,17,1663,0,0
5939675,Gangstas Paradise,2,1995,7,11,17,1357608774,11/07/1995,Coolio LV,1,4,11031,alto,5939675,21,0,386,0,
2102834,Sigue,2,1996,11,24,0,106933107,24/11/1996,Ed Sheeran J Balvin,1,1,1476,baixo,2102834,46,8,60,0,0
6161550,Cupid  Twin Ver FIFTY FIFTY  Spe,1,1997,1,1,2,103762518,01/01/1997,sped up 8282,1,1,478,baixo,6161550,0,0,6,0,0
8262886,Iris,1,1998,3,31,9,1284942608,31/03/1998,The Goo Goo Dolls,1,4,13820,alto,8262886,137,5,582,0,0
4527090,Yellow,1,1999,1,1,43,1755214421,01/01/1999,Chris Molitor,1,4,35607,alto,4527090,196,2,4053,5,0
3333614,The Next Episode,2,1999,1,1,0,843309044,01/01/1999,Dr Dre Snoop Dogg,2,4,37355,alto,3333614,142,40,5451,1,953
2285737,Still DRE,2,1999,1,1,0,1210599487,01/01/1999,Dr Dre Snoop Dogg,2,4,40698,alto,2285737,141,78,6591,1,0
3363172,Forgot About Dre,2,1999,1,1,0,675039469,01/01/1999,Eminem Dr Dre,2,4,20819,alto,3363172,78,15,1674,0,3
5694303,Stan,2,1999,11,21,0,918915401,21/11/1999,Eminem Dido,1,4,21378,alto,5694303,83,63,4180,0,0
7699876,My Only Wish This Year,1,2000,11,7,0,261116938,07/11/2000,Britney Spears,1,2,7353,baixo,7699876,115,53,286,0,0
2059327,Sparks,1,2000,7,10,4,624101957,10/07/2000,Coldplay,3,3,11655,baixo,2059327,24,0,805,0,0
2670198,The Real Slim Shady,1,2000,1,1,27,1424589568,01/01/2000,Eminem,4,4,24115,alto,2670198,81,53,3271,1,17
4552573,In The End,1,2000,10,24,6,1624165576,24/10/2000,Linkin Park,2,4,31936,alto,4552573,63,0,6808,2,0
1486311,Till I Collapse,2,2002,5,26,0,1695712020,26/05/2002,Eminem Nate Dogg,1,4,25516,alto,1486311,78,46,2515,1,0
4238748,Superman,2,2002,5,26,14,655466831,26/05/2002,Eminem Dina Rae,1,3,8638,baixo,4238748,18,51,1005,0,0
7890756,The Scientist,1,2002,8,5,6,1608164312,05/08/2002,Coldplay,3,4,38943,alto,7890756,124,25,7827,1,0
4918126,In Da Club,1,2002,1,1,7,1202722675,01/01/2002,50 Cent,1,4,35883,alto,4918126,235,106,5221,1,35
1663974,Without Me,1,2002,1,1,43,1687664027,01/01/2002,Eminem,4,4,25068,alto,1663974,98,76,3889,5,0
6766942,Lose Yourself  Soundtrack Version,1,2002,1,1,21,1829992958,01/01/2002,Eminem,4,4,38316,alto,6766942,247,54,5567,1,51
1512850,Mr Brightside,1,2003,9,23,15,1806617704,23/09/2003,The Killers,1,4,57348,alto,1512850,306,99,5063,2,120
3049716,Numb,1,2003,3,24,5,1361425037,24/03/2003,Linkin Park,2,4,27491,alto,3049716,39,0,7341,0,0
7806612,Gasolina,1,2004,7,13,18,657723613,13/07/2004,Daddy Yankee,2,3,7008,baixo,7806612,98,95,453,0,454
2394886,Mockingbird,1,2004,1,1,61,1241559043,01/01/2004,Eminem,4,4,15428,alto,2394886,49,98,2394,5,204
3412305,Somewhere Only We Know,1,2004,1,1,16,1089402494,01/01/2004,Keane,1,4,25361,alto,3412305,107,69,5239,0,558
1840761,Yo Voy feat Daddy Yankee,1,2004,5,4,2,527033089,04/05/2004,Zion  Lennox,1,3,2972,baixo,1840761,18,82,0,0,5
